"","...1","x","y","cena","nazwa","link","adres stacji","wielkosc ruchu","godziny otwarcia","liczba gwiazdek","sredni ruch poniedzialek","sredni ruch wtorek","sredni ruch sroda","sredni ruch czwartek","sredni ruch piatek","sredni ruch sobota","sredni ruch niedziela","udział poniedzialek","udział wtorek","udział sroda","udział czwartek","udział piatek","udział sobota","udział niedziela","średni spędzany czas (min)","sredni ruch w godzinach 4-8","sredni ruch w godzinach 8-12","sredni ruch w godzinach 12-16","sredni ruch w godzinach 16-20","sredni ruch w godzinach 20-24","sredni ruch w godzinach 24-4","N","grid","min_odl_trunk","max_odl_trunk","avg_odl_trunk","min_odl_primary","max_odl_primary","avg_odl_primary","palac_kultury","sources.lon","min_odl_stacji","max_odl_stacji","avg_odl_stacji","ile_stacji_r5","ile_stacji_r10"
"1",0,21.0905714,52.1557819,4.23,NA,"https://www.google.com/search?tbm=lcl&ei=MVGXX4SwOuOlrgSDlqjICg&q=Uprawna+3%2C&oq=Uprawna+3%2C&gs_l=psy-ab.3..38j0i22i30k1j38l2.12205.12205.0.12472.1.1.0.0.0.0.87.87.1.1.0....0...1c.2.64.psy-ab..0.1.86....0.N1E-jw-Gg6E#rlfi=hd:;si:14405469212668327982;mv:[[52.156091599999996,21.091627],[52.1559008,21.0912583]]","Przyczółkowa 304, 02-962 Warszawa",3734.25,"Czynne całą dobę",4.2,501,761.25,434.25,375.75,761.25,501,399.75,0.134163486643904,0.203856196023298,0.116288411327576,0.100622614982928,0.203856196023298,0.134163486643904,0.107049608355091,15,269.25,305.25,239.25,86.25,24,0,3734.25,407,12.5,38.9,25.2923039343408,5.4,38.3,19.7063742217276,17.1,21.09084,3.7,37,19.6223140495868,1,10
"2",0,21.1059924,52.2214136,4.29,"Circle K","https://www.google.com/search?tbm=lcl&ei=6lCXX6S8CIP2qwHRhKyQAw&q=52.22207+21.10578+&oq=52.22207+21.10578+&gs_l=psy-ab.3...13275.16792.0.17105.4.4.0.0.0.0.72.270.4.4.0....0...1c.1j2.64.psy-ab..0.0.0....0.habP5QfWz9Q#rlfi=hd:;si:11598232142176450597;mv:[[52.222249977319024,21.1060737912862],[52.22189002268096,21.105486208713803]]","Stoczniowców 5, 03-984 Warszawa",3764.25,"Czynne całą dobę",4.5,650.25,276,650.25,525.75,543.75,576,542.25,0.172743574417215,0.0733213787607093,0.172743574417215,0.139669256824069,0.14445108587368,0.153018529587567,0.144052600119546,10,245.25,248.25,312.75,57.75,69.75,6.75,3764.25,422,12.7,31.4,21.4941505992705,0.7,33.2,13.9926230799114,13.1,21.10599,2.7,30.1,15.9173553719008,4,23
"3",0,21.037341,52.1622842,4.23,"Circle K","https://www.google.com/search?tbm=lcl&ei=RFCXX97pDcuEwPAPvcSt-Ag&q=B%C3%A9li+Bart%C3%B3ka&oq=B%C3%A9li+Bart%C3%B3ka&gs_l=psy-ab.3..38j0i22i30k1l4j38l2.30959.30959.0.31276.1.1.0.0.0.0.93.93.1.1.0....0...1c.2.64.psy-ab..0.1.93....0.hPU2OybjvTU#rlfi=hd:;si:10301404090697194792;mv:[[52.16326094837551,21.03854119567165],[52.16139513514246,21.03435694960842],null,[52.162328051537024,21.036449072640035],18]","aleja Jana Rodowicza „Anody” 6, 02-786 Warszawa",6282,"Czynne całą dobę",4.3,942,649.5,1178.25,697.5,1178.25,835.5,801,0.149952244508118,0.103390639923591,0.187559694364852,0.111031518624642,0.187559694364852,0.132999044890162,0.127507163323782,10,384.75,362.25,423.75,248.25,102,30.75,6282,304,6,36.6,20.3800905419489,1.3,36.2,16.416022699831,13.6,21.037338,3.2,34.9,16.4355371900826,7,24
"4",0,21.1724169,52.2096695,4.14,"Stacja Paliw ORLEN","https://www.google.com/search?tbm=lcl&ei=90-XX8CkCqWHrwT86o-ICg&q=+52.20951+21.17208&oq=+52.20951+21.17208&gs_l=psy-ab.3...19331.22685.0.22986.4.4.0.0.0.0.83.287.4.4.0....0...1c.1j2.64.psy-ab..0.0.0....0.qURvwi4bqTo#rlfi=hd:;si:17014107588603822346;mv:[[52.20968997731902,21.172373708222867],[52.20933002268096,21.17178629177713]]","Konopna 11, 04-707 Warszawa",4466.25,"Czynne całą dobę",4.4,788.25,496.5,864.75,372,496.5,758.25,690,0.176490344248531,0.111167086481948,0.193618807724601,0.0832913518052057,0.111167086481948,0.169773299748111,0.154492023509656,10,321,321,289.5,99.75,87.75,0,4466.25,520,17,39.9,28.4459940072955,3.8,40.1,20.5011118927375,20.7,21.172235,2.7,34.6,22.2735537190083,1,7
"5",0,21.0422905,52.25758925,4.26,"BP","https://www.google.com/search?tbm=lcl&ei=6U6XX4CCLe3nrgTc_IioCw&q=52.2579+21.04312+&oq=52.2579+21.04312+&gs_l=psy-ab.3...151826.155632.0.156300.4.4.0.0.0.0.98.282.4.4.0....0...1c.1j2.64.psy-ab..0.0.0....0.x2NfqnKSOPY#rlfi=hd:;si:12068577599148508150;mv:[[52.25807997731903,21.043414028577637],[52.257720022680964,21.04282597142236]]","aleja ""Solidarności"" 15, 03-412 Warszawa",4164,"Czynne całą dobę",4.3,475.5,342.75,475.5,679.5,772.5,738.75,679.5,0.114193083573487,0.0823126801152738,0.114193083573487,0.163184438040346,0.185518731988473,0.177413544668588,0.163184438040346,NA,168.75,180.75,325.5,179.25,105,36.75,4164,274,10.1,35.1,21.2809829338197,6.8,34.6,18.207152756633,11.5,21.042235,3.3,29.2,16.7644628099174,3,15
"6",0,20.9607781,52.193375,4.28,"Shell","https://www.google.com/search?tbm=lcl&ei=106XX5OLKoOJrwT6iJawCw&q=52.16484+20.9313+&oq=52.16484+20.9313+&gs_l=psy-ab.3...13178.16510.0.17305.4.4.0.0.0.0.69.262.4.4.0....0...1c.1j2.64.psy-ab..0.0.0....0.LO4pyD3AwN0#rlfi=hd:;si:9808354900148768740;mv:[[52.16501997731903,20.93159341330009],[52.16466002268096,20.931006586699905]]","aleja Krakowska 15, 02-183 Warszawa",4893.75,"Czynne całą dobę",3.8,828.75,357,828.75,601.5,814.5,709.5,753.75,0.169348659003831,0.0729501915708812,0.169348659003831,0.122911877394636,0.166436781609195,0.144980842911877,0.154022988505747,10,300,318.75,330,135,123,20.25,4893.75,177,4,36.5,16.7908774101094,1.2,36.9,16.1460028558529,9.8,20.960782,2,30.1,14.5479338842975,5,31
"7",0,21.1399899,52.1917949,4.28,"Stacja Paliw Orlen","https://www.google.com/search?tbm=lcl&ei=i06XX4nWN8OrrgTtu7eIBw&q=52.19171+21.13994+&oq=52.19171+21.13994+&gs_l=psy-ab.3...14608.18282.0.18660.4.4.0.0.0.0.82.263.4.4.0....0...1c.1j2.64.psy-ab..0.0.0....0.bci9YuOcktE#rlfi=hd:;si:7946942776899185991;mv:[[52.191889977319036,21.14023359061029],[52.19153002268097,21.1396464093897]]","Trakt Lubelski 154, 04-766 Warszawa",4909.5,"Czynne całą dobę",4.4,811.5,445.5,940.5,726.75,530.25,750,705,0.165291781240452,0.0907424381301558,0.191567369385885,0.148029330889093,0.108004888481515,0.152765047357165,0.143599144515735,10,336,325.5,333,111.75,120,8.25,4909.5,481,19.9,36.3,27.1105947107869,6.5,38.1,19.2392013061327,17.8,21.139557,3,36.7,20.5446280991736,2,8
"8",0,20.9124173,52.2482102,4.29,"Circle K","https://www.google.com/search?tbm=lcl&ei=8k2XX-3ZL8PorgS_q6zQBw&q=52.24839+20.9119+&oq=52.24839+20.9119+&gs_l=psy-ab.3...37968.43283.0.43642.4.4.0.0.0.0.104.312.3j1.4.0....0...1c.1j2.64.psy-ab..0.0.0....0.AdrmGMOOrrs#rlfi=hd:;si:13173927419411724222;mv:[[52.248569977319036,20.912193965547168],[52.24821002268097,20.911606034452834]]","ul, Powstańców Śląskich 90, 01-493 Warszawa",6159,"Czynne całą dobę",4.3,946.5,688.5,1068,706.5,1068,840.75,840.75,0.153677545056016,0.111787627861666,0.173404773502192,0.114710180224062,0.173404773502192,0.136507549926936,0.136507549926936,10,341.25,366,469.5,220.5,143.25,6.75,6159,72,4.1,43.6,17.4980491141219,5.5,44.2,20.202151864179,13.8,20.912417,2.9,36.1,17.4652892561983,2,19
"9",0,20.9667669,52.3113096,4.29,"Wasbruk LPG 24H","https://www.google.com/search?tbm=lcl&ei=j02XX8msN-6EwPAP-diXoAg&q=%C5%9Awiderska+4&oq=%C5%9Awiderska+4&gs_l=psy-ab.3..0j38l4j0i22i30k1l5.9852.9852.0.10138.1.1.0.0.0.0.101.101.0j1.1.0....0...1c.2.64.psy-ab..0.1.100....0.ufEvr_TImHE#rlfi=hd:;si:11337591485387335667;mv:[[52.31208039543089,20.970447665112307],[52.310220827880066,20.966263419049074],null,[52.31115062142044,20.96835554208069],18]","Myśliborska 53, 03-185 Warszawa",6798.75,"Czynne całą dobę",3.3,1080,859.5,921,867.75,859.5,1143.75,1067.25,0.158852730281302,0.126420297848869,0.135466078323221,0.127633756205185,0.126420297848869,0.16822945394374,0.156977385548814,10,233.25,299.25,325.5,243,327,270.75,6798.75,113,7.7,43.5,21.486330771235,1.5,44.1,20.8117845930935,16.8,20.967024,2.9,35.7,19.0867768595041,2,17
"10",0,20.8971637,52.2387808,4.31,"Stacja Paliw ORLEN","https://www.google.com/search?tbm=lcl&ei=LE2XX4GjC_GSrgSSw7HICw&q=52.23909+20.89766+&oq=52.23909+20.89766+&gs_l=psy-ab.3...23077.29040.0.29376.4.4.0.0.0.0.100.297.3j1.4.0....0...1c.1j2.64.psy-ab..0.0.0....0.hgLH9P3LST8#rlfi=hd:;si:10541173074868023533;mv:[[52.239269977319026,20.897953903942494],[52.23891002268097,20.897366096057503]]","Lazurowa 40, 01-315 Warszawa",4881.75,"Czynne całą dobę",4.2,781.5,479.25,965.25,627,703.5,698.25,627,0.160086034721155,0.0981717621754494,0.197726225226609,0.128437548010447,0.144108157935167,0.143032723920725,0.128437548010447,10,306.75,315,341.25,141.75,108,12,4881.75,51,1.6,43.6,15.2801198540907,4.3,44.2,19.4700030448432,13.6,20.897166,2.6,36.1,16.8057851239669,3,16
